Table Name,State Code,Distt Code,State Name,Area,Age,Total Person,Total Males,Total Females,Illiterate Person,Illiterate Males,Illiterate Females,Literate Person,Literate Males,Literate Females,Literate without educational level Person,Literate without educational level Males,Literate without educational level Females,Below primary Person,Below primary Males,Below primary Females,Primary Person,Primary Males,Primary Females,Middle Person,Middle Males,Middle Females,Secondary Person,Secondary Males,Secondary Females,Higher secondary Person,Higher Secondary Males,Higher Secondary Females,Non-technical diploma Person,Non-technical diploma Males,Non-technical diploma Females,Technical diploma Person,Technical diploma Males,Technical diploma Females,Graduate Person,Graduate Males,Graduate Females,Unclassified Person,Unclassified Males,Unclassified Females,Year
C2308,12,0,ARUNACHAL PRADESH,Total,All ages,1097968,579941,518027,613183,276660,336523,484785,303281,181504,9346,5613,3733,148737,86467,62270,123639,73566,50073,80469,51569,28900,61928,42153,19775,31891,21905,9986,121,105,16,2573,2342,231,26047,19533,6514,34,28,6,2001
C2308,14,0,MANIPUR,Total,All ages,2166788,1095634,1071154,856254,342168,514086,1310534,753466,557068,37486,21376,16110,209287,110301,98986,259393,139630,119763,307529,181974,125555,218159,131373,86786,129602,74868,54734,142,117,25,2278,1727,551,146306,91875,54431,352,225,127,2001
C2308,15,0,MIZORAM,Total,All ages,888573,459109,429464,227128,109004,118124,661445,350105,311340,14841,7018,7823,239221,118903,120318,174269,93007,81262,123034,65909,57125,57269,31931,25338,25245,14852,10393,37,28,9,1063,834,229,26419,17585,8834,47,38,9,2001
C2308,16,0,TRIPURA,Total,All ages,3199203,1642225,1556978,1177104,491518,685586,2022099,1150707,871392,27812,15172,12640,648085,348424,299661,641795,353322,288473,388737,225256,163481,159611,101656,57955,52876,35483,17393,116,100,16,3090,2814,276,99850,68402,31448,127,78,49,2001
C2308,17,0,MEGHALAYA,Total,All ages,2318822,1176087,1142735,1160947,561815,599132,1157875,614272,543603,44773,24987,19786,466756,240076,226680,259627,132392,127235,150587,81046,69541,129021,74479,54542,53734,30166,23568,91,77,14,1549,1285,264,51642,29707,21935,95,57,38,2001
C2308,18,0,ASSAM,Total,All ages,26655528,13777037,12878491,12640174,5588340,7051834,14015354,8188697,5826657,302290,188402,113888,4106789,2332683,1774106,3189339,1822109,1367230,2575642,1441104,1134538,2351739,1402118,949621,785043,506051,278992,1258,1033,225,21732,19493,2239,678887,473802,205085,2635,1902,733,2001
C2308,19,0,WEST BENGAL,Total,All ages,80176197,41465985,38710212,32979796,14013559,18966237,47196401,27452426,19743975,892580,522069,370511,16347698,8924186,7423512,11449999,6340039,5109960,8050643,4770466,3280177,4859685,3073368,1786317,2287115,1521602,765513,5196,4228,968,95799,87427,8372,3186374,2193106,993268,21312,15935,5377,2001
C2308,20,0,JHARKHAND,Total,All ages,26945829,13885037,13060792,15168628,6238180,8930448,11777201,7646857,4130344,317100,199931,117169,3147802,1864147,1283655,3087105,1924134,1162971,1906603,1279861,626742,1747816,1224552,523264,733016,520850,212166,8336,7101,1235,19614,18092,1522,808678,607692,200986,1131,497,634,2001
C2308,21,0,ODISHA,Total,All ages,36804660,18660570,18144090,16967605,6668237,10299368,19837055,11992333,7844722,427084,278436,148648,5755797,3328385,2427412,5798954,3280957,2517997,2875760,1783236,1092524,2616294,1665245,951049,1021802,664408,357394,8944,7495,1449,145863,116593,29270,1185640,866710,318930,917,868,49,2001
C2308,22,0,CHHATTISGARH,Total,All ages,20833803,10474218,10359585,9660654,3762823,5897831,11173149,6711395,4461754,689424,314493,374931,3797072,2165788,1631284,2936720,1702686,1234034,1559439,980634,578805,983606,682043,301563,589239,420526,168713,3097,2483,614,36806,33473,3333,576721,408596,168125,1025,673,352,2001
