Table Name,State Code,Distt Code,State Name,Area,Age,Total Person,Total Males,Total Females,Illiterate Person,Illiterate Males,Illiterate Females,Literate Person,Literate Males,Literate Females,Literate without educational level Person,Literate without educational level Males,Literate without educational level Females,Below primary Person,Below primary Males,Below primary Females,Primary Person,Primary Males,Primary Females,Middle Person,Middle Males,Middle Females,Secondary Person,Secondary Males,Secondary Females,Higher secondary Person,Higher Secondary Males,Higher Secondary Females,Non-technical diploma Person,Non-technical diploma Males,Non-technical diploma Females,Technical diploma Person,Technical diploma Males,Technical diploma Females,Graduate Person,Graduate Males,Graduate Females,Unclassified Person,Unclassified Males,Unclassified Females,Year
C2508SC,0,0,INDIA,Urban,12,1024455,543975,480480,155858,70181,85677,868597,473794,394803,6732,3701,3031,230951,129099,101852,566103,306748,259355,64783,34230,30553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,12,1991
C2508SC,0,0,INDIA,Urban,13,727484,367986,359498,88167,35786,52381,639317,332200,307117,4745,2348,2397,91658,48317,43341,388568,205200,183368,154317,76323,77994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,17,1991
C2508SC,0,0,INDIA,Urban,14,801752,415485,386267,110759,46540,64219,690993,368945,322048,6377,3330,3047,72701,38694,34007,298768,163538,135230,313117,163360,149757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,7,1991
C2508SC,0,0,INDIA,Urban,15,812996,436247,376749,133077,61205,71872,679919,375042,304877,8555,4753,3802,60172,33292,26880,216314,122959,93355,283450,157867,125583,111402,56159,55243,0,0,0,0,0,0,0,0,0,0,0,0,26,12,14,1991
C2508SC,0,0,INDIA,Urban,16,802935,423633,379302,128204,56770,71434,674731,366863,307868,9853,5285,4568,53063,28869,24194,170057,93735,76322,232178,132007,100171,209563,106957,102606,0,0,0,0,0,0,0,0,0,0,0,0,17,10,7,1991
C2508SC,0,0,INDIA,Urban,17,610833,331755,279078,81392,35761,45631,529441,295994,233447,8752,4733,4019,35044,19588,15456,113480,63832,49648,147324,86556,60768,224810,121268,103542,0,0,0,0,0,0,0,0,0,0,0,0,31,17,14,1991
C2508SC,0,0,INDIA,Urban,18,1028475,564764,463711,203213,86939,116274,825262,477825,347437,17833,9732,8101,64059,36564,27495,186157,106595,79562,208420,127089,81331,197652,118026,79626,144444,74951,69493,612,373,239,6026,4458,1568,0,0,0,59,37,22,1991
C2508SC,0,0,INDIA,Urban,19,541061,287176,253885,84671,31299,53372,456390,255877,200513,10873,5826,5047,31140,16692,14448,90783,49199,41584,104676,60879,43797,98854,58055,40799,113400,60364,53036,591,354,237,6035,4483,1552,0,0,0,38,25,13,1991
C2508SC,0,0,INDIA,Urban,20-24,3238150,1701000,1537150,734609,250596,484013,2503541,1450404,1053137,70742,36971,33771,186591,98675,87916,522716,282812,239904,545451,329073,216378,475882,284353,191529,424635,250666,173969,3316,2149,1167,34069,26525,7544,239811,138951,100860,328,229,99,1991
C2508SC,0,0,INDIA,Urban,25-29,2888011,1455173,1432838,868187,270109,598078,2019824,1185064,834760,71762,38138,33624,190454,94471,95983,462368,242859,219509,415119,253255,161864,372407,229185,143222,220244,138909,81335,2249,1515,734,22448,17966,4482,262587,168642,93945,186,124,62,1991
C2508SC,0,0,INDIA,Urban,30-34,2437314,1239745,1197569,897964,287296,610668,1539350,952449,586901,58950,32502,26448,180779,94790,85989,374792,205592,169200,304171,194747,109424,272096,178634,93462,145099,99704,45395,1622,1126,496,15919,12760,3159,185735,132458,53277,187,136,51,1991
C2508SC,0,0,INDIA,Urban,35-39,2410602,1217561,1193041,1016227,339079,677148,1394375,878482,515893,60496,33753,26743,202521,110513,92008,376804,212753,164051,262386,170671,91715,229115,154735,74380,106554,75851,30703,1105,794,311,12890,10326,2564,142385,109001,33384,119,85,34,1991
C2508SC,0,0,INDIA,Urban,40-44,1832384,1000061,832323,799057,291874,507183,1033327,708187,325140,46070,27584,18486,155131,93149,61982,277162,173201,103961,185293,130116,55177,177328,129539,47789,71924,55772,16152,768,578,190,9745,7726,2019,109784,90430,19354,122,92,30,1991
C2508SC,0,0,INDIA,Urban,45-49,1551650,834792,716858,708362,242275,466087,843288,592517,250771,40015,24086,15929,132220,78937,53283,227634,144930,82704,143886,103621,40265,148586,114073,34513,54908,44694,10214,632,481,151,7719,6004,1715,87569,75596,11973,119,95,24,1991
C2508SC,0,0,INDIA,Urban,50-54,1100187,608104,492083,557235,201321,355914,542952,406783,136169,28231,17610,10621,92746,59753,32993,144065,99937,44128,86998,66976,20022,97680,80806,16874,33180,28795,4385,431,344,87,5746,4342,1404,53797,48154,5643,78,66,12,1991
C2508SC,0,0,INDIA,Urban,55-59,777344,392960,384384,434239,136719,297520,343105,256241,86864,19900,12006,7894,71845,46015,25830,94124,65968,28156,51847,40491,11356,56274,47882,8392,18036,16097,1939,270,223,47,3646,2790,856,27109,24725,2384,54,44,10,1991
C2508SC,0,0,INDIA,Urban,60-64,716692,344259,372433,475858,159374,316484,240834,184885,55949,18146,10758,7388,60937,41812,19125,68127,51347,16780,31888,25789,6099,34935,30799,4136,10230,9323,907,153,126,27,2049,1572,477,14325,13321,1004,44,38,6,1991
C2508SC,0,0,INDIA,Urban,65-69,465242,213468,251774,320211,103652,216559,145031,109816,35215,11608,6780,4828,44763,30962,13801,41949,31584,10365,17582,14257,3325,17252,15398,1854,4587,4174,413,70,65,5,901,673,228,6288,5899,389,31,24,7,1991
C2508SC,0,0,INDIA,Urban,70-74,339815,166487,173328,244952,92236,152716,94863,74251,20612,8725,5402,3323,30946,23397,7549,28788,22911,5877,10798,8871,1927,9655,8581,1074,2490,2101,389,42,37,5,406,292,114,2985,2632,353,28,27,1,1991
C2508SC,0,0,INDIA,Urban,75-79,136678,66822,69856,93053,33469,59584,43625,33353,10272,3732,2287,1445,13522,10068,3454,12920,10154,2766,5534,4351,1183,4728,3913,815,1429,1113,316,17,16,1,203,151,52,1529,1291,238,11,9,2,1991
C2508SC,0,0,INDIA,Urban,80+,180750,82779,97971,130127,46105,84022,50623,36674,13949,5180,3035,2145,15814,11006,4808,13911,10543,3368,6462,4857,1605,5163,4087,1076,1688,1242,446,27,24,3,220,178,42,2150,1695,455,8,7,1,1991
C2508SC,0,0,INDIA,Urban,Age not stated,89092,47746,41346,43443,20267,23176,45649,27479,18170,13601,8042,5559,7756,4423,3333,8913,5159,3754,6124,3810,2314,4821,3107,1714,2132,1349,783,29,19,10,222,170,52,2042,1395,647,9,5,4,1991
C2508SC,1,0,State - JAMMU & KASHMIR  01,Total,All ages,770155,403256,366899,384637,165577,219060,385518,237679,147839,11671,5913,5758,84057,48423,35634,111708,65517,46191,106937,69101,37836,48884,33154,15730,14052,9338,4714,20,14,6,254,214,40,7902,5980,1922,33,25,8,1991
C2508SC,1,0,State - JAMMU & KASHMIR  01,Total,0-6,117040,61617,55423,117040,61617,55423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,State - JAMMU & KASHMIR  01,Total,7,17792,9283,8509,7220,3558,3662,10572,5725,4847,229,119,110,10342,5606,4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1991
C2508SC,1,0,State - JAMMU & KASHMIR  01,Total,8,21287,11006,10281,6047,2741,3306,15240,8265,6975,217,109,108,15023,8156,6867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,State - JAMMU & KASHMIR  01,Total,9,17014,8904,8110,3607,1530,2077,13407,7374,6033,135,78,57,12348,6814,5534,924,482,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,State - JAMMU & KASHMIR  01,Total,10,23446,12335,11111,4328,1759,2569,19118,10576,8542,175,68,107,14630,8204,6426,4313,2304,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,State - JAMMU & KASHMIR  01,Total,11,15160,7958,7202,2386,892,1494,12774,7066,5708,91,46,45,6398,3637,2761,6285,3383,2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
